[GIN] 2026/03/15 - 04:45:48 | 200 |      5.0093ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:45:49 | 200 |      1.6566ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:45:49 | 200 |      4.9405ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:46:00 | 200 |      3.5046ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:46:00 | 200 |      5.8633ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:46:01 | 200 |      3.1253ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:46:01 | 200 |      15.776ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:46:12 | 200 |      1.7126ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:46:12 | 200 |       3.885ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:46:25 | 200 |      1.4728ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:46:25 | 200 |      4.2869ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:46:37 | 200 |      2.0478ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:46:37 | 200 |      13.677ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:46:44 | 200 |      3.7209ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:46:44 | 200 |     10.1828ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:46:49 | 200 |      2.2966ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:46:49 | 200 |     15.0069ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:47:44 | 200 |      2.1872ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:47:44 | 200 |       2.255ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:47:44 | 200 |      6.4136ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:47:44 | 200 |     16.4773ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
