[GIN] 2026/03/15 - 03:05:04 | 200 |     20.8605ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=633"
[GIN] 2026/03/15 - 03:05:04 | 200 |        6.95ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      3.1945ms |       127.0.0.1 | GET      "/ws/833922?player_id=633"
[GIN] 2026/03/15 - 03:05:04 | 200 |     19.6054ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=635"
[GIN] 2026/03/15 - 03:05:04 | 200 |      9.9483ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      1.5188ms |       127.0.0.1 | GET      "/ws/833922?player_id=635"
[GIN] 2026/03/15 - 03:05:06 | 200 |    261.2042ms |       127.0.0.1 | POST     "/rooms/833922/games/FishScoopingScene/complete"
[GIN] 2026/03/15 - 03:05:06 | 200 |      2.0182ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |      11.772ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=634"
[GIN] 2026/03/15 - 03:05:06 | 200 |     10.1149ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=633"
[GIN] 2026/03/15 - 03:05:06 | 200 |      7.5112ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:06 | 200 |     19.1855ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=635"
[GIN] 2026/03/15 - 03:05:06 | 200 |      1.0003ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |      2.5128ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=634"
[GIN] 2026/03/15 - 03:05:06 | 200 |      2.5128ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=635"
[GIN] 2026/03/15 - 03:05:06 | 200 |      3.5262ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=633"
[GIN] 2026/03/15 - 03:05:06 | 200 |      2.5128ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:06 | 200 |       508.1µs |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |      3.3305ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |      2.0135ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |      1.0012ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |      1.0116ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |      2.0003ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |      7.5043ms |       127.0.0.1 | POST     "/rooms/833922/games/HorseDeliveryScene/complete"
[GIN] 2026/03/15 - 03:05:06 | 200 |      4.4534ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |     12.4853ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:06 | 200 |     19.7666ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=634"
[GIN] 2026/03/15 - 03:05:06 | 200 |     26.5578ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=635"
[GIN] 2026/03/15 - 03:05:06 | 200 |     13.5674ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=633"
[GIN] 2026/03/15 - 03:05:06 | 200 |     15.6815ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:06 | 200 |    208.5618ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:06 | 200 |    215.5013ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=634"
[GIN] 2026/03/15 - 03:05:06 | 200 |     34.0683ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=635"
[GIN] 2026/03/15 - 03:05:06 | 200 |      52.705ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=633"
[GIN] 2026/03/15 - 03:05:06 | 200 |     53.7231ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |     26.1862ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |    265.1874ms |       127.0.0.1 | POST     "/rooms/833922/games/WorshipBoothScene/complete"
[GIN] 2026/03/15 - 03:05:07 | 200 |      84.975ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |     67.2492ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |     83.7454ms |       127.0.0.1 | POST     "/rooms/833922/games/BoxingGameScene/complete"
[GIN] 2026/03/15 - 03:05:07 | 200 |     79.8764ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      1.9072ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      1.5291ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      6.0238ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      3.9746ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |    113.0604ms |       127.0.0.1 | POST     "/rooms/833922/games/CookingGameScene/complete"
[GIN] 2026/03/15 - 03:05:07 | 200 |    101.0838ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |     11.6875ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      1.8632ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      6.7602ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      5.8195ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      3.5813ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      4.7279ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |     25.5697ms |       127.0.0.1 | POST     "/rooms/833922/games/BalloonShootScene/complete"
[GIN] 2026/03/15 - 03:05:07 | 200 |      6.5855ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      6.1182ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      8.4582ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      5.2517ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      2.0517ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |     57.9334ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |     72.4215ms |       127.0.0.1 | POST     "/rooms/833922/games/DollGameScene/complete"
[GIN] 2026/03/15 - 03:05:07 | 200 |      6.5178ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |     10.2079ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      6.6577ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      6.9244ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |     23.3652ms |       127.0.0.1 | POST     "/rooms/833922/games/FlowerGameScene/complete"
[GIN] 2026/03/15 - 03:05:07 | 200 |     102.917ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |    109.7649ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |     12.5269ms |       127.0.0.1 | POST     "/rooms/833922/games/HauntedHouseScene/complete"
[GIN] 2026/03/15 - 03:05:07 | 200 |     19.7428ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |     25.5172ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      3.4734ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      7.9778ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |     38.8106ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      23.883ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=634"
[GIN] 2026/03/15 - 03:05:07 | 200 |     11.8942ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      8.7782ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |     63.4035ms |       127.0.0.1 | POST     "/rooms/833922/games/TugOfWarScene/complete"
[GIN] 2026/03/15 - 03:05:07 | 200 |      4.6856ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:07 | 200 |      4.6582ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |       4.727ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:07 | 200 |      5.3321ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
