[GIN] 2026/03/14 - 02:38:35 | 200 |      1.2095ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:36 | 200 |     32.2502ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:38:38 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/42/submit"
[GIN] 2026/03/14 - 02:38:38 | 200 |     12.8007ms |       127.0.0.1 | POST     "/rounds/42/submit"
[GIN] 2026/03/14 - 02:38:38 | 200 |      1.5908ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:38 | 200 |      1.5488ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:40 | 200 |      4.7945ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:38:42 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/43/submit"
[GIN] 2026/03/14 - 02:38:42 | 200 |      4.4408ms |       127.0.0.1 | POST     "/rounds/43/submit"
[GIN] 2026/03/14 - 02:38:42 | 200 |       636.5µs |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:42 | 200 |      2.1514ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:44 | 200 |     11.9477ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:38:46 | 204 |       393.6µs |       127.0.0.1 | OPTIONS  "/rounds/44/submit"
[GIN] 2026/03/14 - 02:38:46 | 200 |     14.1353ms |       127.0.0.1 | POST     "/rounds/44/submit"
[GIN] 2026/03/14 - 02:38:46 | 200 |      2.3042ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:46 | 200 |      3.0212ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:47 | 200 |      5.0062ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:38:50 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/45/submit"
[GIN] 2026/03/14 - 02:38:50 | 200 |     12.4393ms |       127.0.0.1 | POST     "/rounds/45/submit"
[GIN] 2026/03/14 - 02:38:50 | 200 |      1.6463ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:50 | 200 |       599.7µs |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:51 | 200 |      5.7416ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:38:53 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/46/submit"
[GIN] 2026/03/14 - 02:38:53 | 200 |      9.0894ms |       127.0.0.1 | POST     "/rounds/46/submit"
[GIN] 2026/03/14 - 02:38:53 | 200 |      1.1889ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:53 | 200 |       1.286ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:55 | 200 |       4.506ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:38:57 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/47/submit"
[GIN] 2026/03/14 - 02:38:57 | 200 |      14.003ms |       127.0.0.1 | POST     "/rounds/47/submit"
[GIN] 2026/03/14 - 02:38:57 | 200 |      2.5899ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:57 | 200 |       513.4µs |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:59 | 200 |     26.0455ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:39:01 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/48/submit"
[GIN] 2026/03/14 - 02:39:01 | 200 |      9.3665ms |       127.0.0.1 | POST     "/rounds/48/submit"
[GIN] 2026/03/14 - 02:39:01 | 200 |      2.1297ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:01 | 200 |      6.6217ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:02 | 200 |     15.6572ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:39:05 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/49/submit"
[GIN] 2026/03/14 - 02:39:05 | 200 |      6.2505ms |       127.0.0.1 | POST     "/rounds/49/submit"
[GIN] 2026/03/14 - 02:39:05 | 200 |      1.6498ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:05 | 200 |       504.9µs |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:06 | 200 |     12.8123ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:39:08 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/50/submit"
[GIN] 2026/03/14 - 02:39:08 | 200 |      3.5396ms |       127.0.0.1 | POST     "/rounds/50/submit"
[GIN] 2026/03/14 - 02:39:08 | 200 |      1.5495ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:08 | 200 |         513µs |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:10 | 200 |     11.9084ms |       127.0.0.1 | POST     "/rooms/484160/round/start?player_id=506"
[GIN] 2026/03/14 - 02:39:12 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/51/submit"
[GIN] 2026/03/14 - 02:39:12 | 200 |     13.9845ms |       127.0.0.1 | POST     "/rounds/51/submit"
[GIN] 2026/03/14 - 02:39:12 | 200 |      7.1041ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:12 | 200 |     14.1372ms |       127.0.0.1 | GET      "/rooms/484160/summary"
[GIN] 2026/03/14 - 02:39:12 | 200 |      1.8001ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:12 | 200 |      11.951ms |       127.0.0.1 | GET      "/rooms/484160/summary"
[GIN] 2026/03/14 - 02:39:12 | 200 |       505.5µs |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:17 | 200 |      2.1506ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:39:17 | 200 |      4.0608ms |       127.0.0.1 | GET      "/rooms/484160/summary"
[GIN] 2026/03/14 - 02:39:39 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms"
[GIN] 2026/03/14 - 02:39:39 | 200 |     29.1536ms |       127.0.0.1 | POST     "/rooms"
[GIN] 2026/03/14 - 02:39:40 | 200 |      5.7363ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:40 | 200 |      3.0138ms |       127.0.0.1 | GET      "/ws/945456?player_id=508"
[GIN] 2026/03/14 - 02:39:42 | 200 |            0s |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/14 - 02:39:42 | 200 |      1.1621ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/14 - 02:39:43 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms/join"
[GIN] 2026/03/14 - 02:39:43 | 200 |       1.059ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/14 - 02:39:43 | 200 |      3.2348ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:43 | 200 |       2.537ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/14 - 02:39:43 | 200 |       5.413ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:43 | 200 |      6.2526ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:43 | 200 |      8.1598ms |       127.0.0.1 | GET      "/ws/945456?player_id=509"
